id,split,text,estimated_V,estimated_A,estimated_D,calculated_V,calculated_A,calculated_D
110CYL069_2166_2322,train,"once his tears have subsided, he confirms what his classmates have already figured out: he just received a job offer -- his first in five years.",0.23,0.275,0.09,0.2609,-0.0521,0.1373
110CYL069_2329_2471,train,"Addressing a meeting at a neighborhood center, a Goodwill staff member tells the audience how Goodwill can help them find and keep jobs.",0.135,0.045,0.09,0.284,-0.0665,0.1077
110CYL069_2552_2596,train,At the next corner he tells five more.,0.045,-0.045,0.0,0.1569,-0.0703,0.1287
110CYL069_2603_2727,train,"In order to develop job skills, a man with some serious disabilities begins working in Goodwill's industrial division.",0.055,-0.055,0.0,0.1156,0.045,0.2228
110CYL069_267_291,test,He has no time to waste.,-0.07,0.145,0.145,-0.0248,-0.101,0.0355
110CYL069_2728_2826,train,It takes a long time for him to gain the self-confidence to work elsewhere in the community.,-0.19,-0.06,-0.06,0.2018,0.002,0.1712
110CYL069_2833_2895,train,"Eventually, he turns your support into a payoff for all of us.",0.055,0.0,0.11,0.2327,-0.0648,0.2799
110CYL069_2896_2948,dev,He proudly leaves Goodwill to support himself.,0.25,0.085,0.165,0.5182,0.0025,0.3678
110CYL069_2955_2997,train,These people and their successes are real.,0.125,0.06,0.25,0.1077,-0.03,0.0723
110CYL069_298_312,train,Neither do we.,0.0,0.0,0.1,0.1977,0.053,0.071
110CYL069_2998_3069,train,Just like the respect we've earned from U.S. News & World Report.,0.0,-0.1,0.05,0.3816,-0.1354,0.2683
110CYL069_313_453,test,"With the help of friends like you, Goodwill has continued to adapt our services to meet the human needs of our changing society.",0.2,0.05,0.2,0.2831,-0.0808,0.0796
110CYL069_3141_3151,train,Real work.,0.0,0.05,0.1,0.438,0.106,0.467
110CYL069_3152_3165,test,Real results.,0.0,-0.2,0.05,0.438,0.02,0.434
110CYL069_3166_3231,train,A real difference in people's lives -- in all of our lives.,0.05,0.1,0.05,0.1012,-0.0112,0.0706
110CYL069_3238_3328,train,The people who can benefit most directly from your generosity have no time to waste.,0.06,0.125,0.19,0.2727,-0.1313,0.1703
110CYL069_3329_3408,train,Neither do the rest of us who feel the positive results of their success.,0.28,0.055,0.055,0.3913,0.006,0.2001
110CYL069_3409_3451,test,Your support helps provide real solutions.,0.2,-0.05,0.0,0.4315,-0.0005,0.3938
110CYL069_3458_3552,dev,Please use the enclosed response card and envelope to give generously to Goodwill today.,0.0,0.0,0.0,0.2614,-0.2324,-0.0421
110CYL069_3559_3569,dev,"Sincerely,",0.05,-0.05,0.0,,,
110CYL069_3590_3635,train,Jack Dustman Board Member and Former Chairman,0.0,-0.125,0.0,0.0465,0.0922,0.1293
110CYL069_460_512,train,We don't waste time as we are helping the community.,0.145,0.145,0.285,0.078,0.0703,0.083
110CYL069_513_544,train,And we don't waste money.,0.05,0.0,0.25,-0.1263,0.1603,-0.0497
110CYL069_545_682,test,"The gift that I am asking you to make will be used to continue our mission of helping people prepare for, find and keep jobs.",0.1,0.0,-0.05,0.2448,-0.0685,0.1215
110CYL069_689_842,train,"In their December, 1995 review of the nation's best charities, U.S. News & World Report called Goodwill one of the five ""Standout Good Guys.""",0.285,0.215,0.145,0.4085,-0.1191,0.1337
110CYL069_69_206,train,"In the short while since Goodwill helped him find his job, Robert has learned to thoroughly clean a motel room in about 40 minutes.",0.2,0.05,0.2,0.261,-0.163,0.1034
110CYL069_843_964,train,"The magazine stated that Goodwill (as well as the other standouts) is ""uniquely effective, innovative or valuable.""",0.2,0.05,0.15,0.3997,-0.111,0.2034
110CYL069_971_1145,train,"While I appreciate U.S. News & World Report's endorsement, the true value of your support is measured by the way Goodwill takes on problems that affect all of us.",-0.05,0.15,0.05,0.2196,-0.0798,0.2132
110CYL070_1013_1100,train,And there are a lot of people who face these challenges every day of their lives.,-0.05,0.05,0.05,0.0824,-0.1708,-0.012
110CYL070_1101_1127,train,So our work must continue.,0.07,0.0,0.145,0.1285,-0.0475,0.1515
110CYL070_1134_1181,train,Everyone benefits from the work we do together.,0.25,-0.05,0.05,0.3322,0.0508,0.2238
110CYL070_1182_1214,train,Many people need our help.,-0.05,0.05,0.05,0.1435,-0.0275,-0.17
110CYL070_1221_1263,train,Please continue our important partnership.,0.0,0.0,0.0,0.304,-0.0752,0.1688
110CYL070_1264_1318,train,Support Goodwill with a generous donation today.,0.07,0.0,0.145,0.6142,-0.1957,0.1932
110CYL070_1325_1335,dev,"Sincerely,",0.0,-0.35,-0.1,,,
110CYL070_1342_1371,test,James M. McClelland President,0.0,-0.125,0.06,0.354,0.244,0.973
110CYL070_135_187,train,We've helped people break free of the welfare cycle.,0.35,0.05,0.2,0.23,-0.144,0.0848
110CYL070_188_263,train,We've found ways for people with disabilities to enter the workforce.,0.19,0.125,0.19,0.2033,0.0012,0.0048
110CYL070_18_35,train,"December 10, 1996",0.0,-0.15,-0.05,0.48,0.08,-0.072
110CYL070_264_371,train,We've expanded Goodwill's proven methods to towns and neighborhoods where they are needed most.,0.2,0.05,0.05,0.2262,-0.098,0.1847
110CYL070_378_418,train,"Of course, we've played different roles.",0.05,0.05,0.05,0.362,-0.289,-0.11
110CYL070_419_498,train,You have helped make Goodwill's work possible with your previous support.,0.3,-0.05,0.05,0.295,-0.1175,0.1464
110CYL070_42_72,dev,Dear Mailhouse donor reminder:,0.0,0.0,0.0,0.4307,-0.102,0.2473
110CYL070_499_580,train,Goodwill has devised the programs that turned your investment into results.,0.1,-0.1,0.0,0.3204,0.0251,0.2896
110CYL070_587_626,dev,Who has benefited from our partnership?,0.0,0.2,0.05,0.1907,-0.0753,0.03
110CYL070_627_640,train,Everyone has.,-0.05,0.05,0.05,0.2,-0.184,0.038
110CYL070_641_833,train,"When you and I help somebody find a job, one more person joins the ranks of tax payers, fewer tax dollars are spent on public assistance and businesses gain another consumer.",0.3,0.0,0.25,0.0958,-0.061,0.0846
110CYL070_79_128,train,You and I have done some important work together.,0.3,0.05,0.05,0.285,0.006,0.254
110CYL070_840_1012,train,"There are a lot of barriers that keep people from working: physical and mental disabilities, history of welfare dependency and lack of education or self-esteem.",-0.165,-0.055,0.055,0.1659,-0.1056,0.0925
110CYL071_1114_1167,test,"At last, he has found success in a job that he loves.",0.39,0.165,0.165,0.4514,0.0764,0.3041
110CYL071_1168_1224,train,Now his goals are set on moving up in the company.,0.05,0.05,0.05,0.289,-0.054,0.2037
110CYL071_1231_1280,train,"Every year, thousands of people come to Goodwill.",0.06,0.125,0.06,0.2544,-0.1804,0.0472
110CYL071_1281_1339,train,"Like Michael, they share two common characteristics.",-0.07,0.145,0.07,0.2392,-0.3088,-0.1148
110CYL071_1340_1405,train,They face some barrier to employment and they want to work.,0.0,-0.15,0.0,0.109,-0.0436,0.0752
110CYL071_1412_1547,train,"With support from people like you, they can overcome their barriers and earn success and the self-sufficiency that comes with it.",0.19,0.25,0.315,0.2525,0.0198,0.1499
110CYL071_1548_1607,train,And then the pay-off begins for the entire community.,0.19,0.0,0.06,0.175,-0.0737,0.072
110CYL071_1720_1830,train,"Last year, participants in Goodwill programs earned --and paid taxes on -- wages of nearly $3.5 million.",0.2,0.05,0.0,0.2106,-0.1571,0.032
110CYL071_175_239,train,Michael Sims felt that way at age 39 -- the day he earned a job.,0.15,0.15,0.05,0.2256,-0.1834,0.092
110CYL071_1837_1955,test,Their successes at work also saved taxpayers more than three-quarters of a million dollars in public assistance.,0.35,-0.05,0.15,0.2088,-0.0961,0.1397
110CYL071_18_35,train,"November 15, 1994",0.0,-0.4,-0.1,,,
110CYL071_1962_2031,test,"The savings are counted in more ways than dollars and cents, however.",0.0,-0.31,0.19,0.2242,-0.037,0.1123
110CYL071_2038_2263,train,"The families of the new wage earners may feel the accomplishment in terms of a house to live in, money to purchase food -- without food stamps -- and the beginning of a family focused on success, not hopelessness.",0.1,-0.05,0.0,0.2903,-0.0972,0.0809
110CYL071_2270_2322,train,Won't you help make all of these successes possible?,0.0,0.15,0.05,0.1817,-0.0977,0.0638
110CYL071_2323_2391,dev,Please send the largest contribution you can comfortably make.,-0.1,-0.1,0.15,0.3704,-0.2463,0.1017
110CYL071_2392_2518,test,Your gift will help give new meaning to the word success -- for people who have seldom had reason to use the word.,0.3,0.1,0.05,0.283,-0.1089,0.1101
110CYL071_246_283,test,Michael was born with cerebral palsy.,-0.43,0.07,-0.07,0.0705,-0.0242,0.0195
110CYL071_2525_2535,train,"Sincerely,",0.125,0.0,0.0,,,
110CYL071_2542_2571,train,James M. McClelland President,0.0,0.0,0.0,0.354,0.244,0.973
110CYL071_2578_2582,train,P.S.,0.0,-0.05,0.0,,,
110CYL071_2583_2616,train,Your gift will make a difference.,0.32,0.185,0.225,0.2996,-0.0412,0.1276
110CYL071_2617_2795,train,"For every dollar of public support Goodwill received last year, we returned $1.59 to the community in the form of earned wages and reduced public assistance payments.",0.3,0.1,0.1,0.1814,-0.0928,0.1032
110CYL071_284_391,dev,"Upon entering the work force, he discovered few job opportunities that seemed to match his abilities.",0.15,0.1,0.0,0.352,0.051,0.2108
110CYL071_398_457,train,For several years he performed packaging and clerical work.,0.0,-0.1,0.05,0.2084,-0.1065,0.1492
110CYL071_42_48,train,"Dear ,",0.0,0.0,0.0,0.76,-0.132,0.258
110CYL071_458_550,test,His most recent job lasted only a year before cut-backs eliminated his position.,-0.31,0.0,-0.06,0.1272,-0.1212,-0.006
110CYL071_557_605,train,For 18 long months Michael could not find a job.,-0.39,0.055,-0.055,0.1895,-0.0745,0.044
110CYL071_55_94,train,Think of your greatest accomplishments.,0.22,0.0,0.165,0.3427,0.0473,0.423
110CYL071_606_664,test,He resorted to public assistance dollars to survive.,-0.15,0.05,0.05,0.2745,0.1177,0.267
110CYL071_665_698,test,"Finally, Michael called Goodwill.",0.05,0.05,0.0,0.521,-0.24,0.132
110CYL071_705_892,train,"At Goodwill, Michael's counselors felt that his personable demeanor could be a major attribute and identified for him a possible job-match where his people skills could shine.",0.3,0.05,0.05,0.2864,-0.0744,0.1685
110CYL071_899_985,train,"After three interviews, Michael proved that he was the right person for the job.",0.3,0.0,0.1,0.2835,-0.0488,0.1799
110CYL071_95_168,train,Think of the joy and success they bring to you and your loved ones.,0.5,0.3,0.1,0.358,0.1316,0.2351
110CYL071_986_1107,dev,"As the Clubhouse Monitor at Bent Tree Apartments, he now provides customer service for 50 to 60 tenants each night.",0.05,-0.15,0.0,0.1915,-0.1157,0.0366
110CYL072_130_264,train,Their complaint: the system discourages working because unemployment provides benefits that many entry-level jobs don't include.,-0.2,0.0,-0.1,-0.0324,-0.0353,0.042
110CYL072_18_123,train,Some of the strongest critics of our welfare system are the people who have become dependent on it.,0.0,-0.1,-0.05,0.1892,-0.0809,0.1374
110CYL072_271_313,train,That's where you --and Goodwill --come in.,0.05,0.0,0.15,0.2755,-0.0865,0.092
110CYL072_314_412,train,We help people train for and find jobs that make it possible for them to get off of welfare.,0.125,-0.065,-0.065,0.1816,0.0067,0.0631
110CYL072_413_518,train,"Last year, Goodwill placed 511 people in jobs, more than double the number we placed in 1993.",0.4,0.15,0.1,0.1569,-0.2557,0.1269
110CYL072_525_641,train,"While the debate on welfare reform is gathering like a storm at sea, the people who need jobs are floundering.",-0.15,0.05,-0.05,0.0923,0.072,0.1035
110CYL072_642_721,train,We need your support to continue getting people off of public assistance.,0.05,-0.1,0.05,0.1378,0.0398,0.0871
110CYL072_728_754,train,Welfare is not the answer.,-0.05,0.0,0.0,0.226,-0.166,0.2427
110CYL072_755_835,train,And welfare reform is an uncertain solution with an unknown starting date.,-0.1,0.0,-0.1,0.0993,-0.136,-0.0151
110CYL072_836_851,train,Goodwill works.,0.435,0.125,0.25,0.714,-0.239,0.324
110CYL072_852_862,train,Right now.,-0.07,0.0,0.215,-0.206,-0.048,0.444
110CYL072_869_924,train,Please give the largest gift you can to Goodwill today.,0.1,0.0,0.0,0.3882,-0.181,0.0228
110CYL072_931_969,train,"Sincerely, Jack Dustman Chairman",0.0,-0.1,0.0,0.0397,0.2177,0.1507
110CYL200_1290_1428,dev,"With unemployment at its lowest point in years in central Indiana, many people still have a hard time finding meaningful employment.",-0.35,0.0,-0.1,0.0974,-0.218,-0.0256
110CYL200_1569_1610,train,"Some, like Jerry, are ex-offenders.",-0.05,-0.05,0.0,-0.0155,-0.0635,-0.124
110CYL200_1611_1668,test,"Some are blind, deaf or have other physical disabilities.",-0.215,0.0,0.0,0.1916,-0.1444,-0.0164
110CYL200_1675_1703,train,More than 100 were homeless.,-0.4,0.0,-0.15,-0.2413,-0.0827,-0.1273
110CYL200_1710_1804,train,"But Goodwill offers hope even to people with numerous obstacles to overcome, like Jerry.",0.2,0.15,0.1,0.3058,-0.0904,0.1618
110CYL200_1805_2047,train,"With a promising new job at a plastic injection molding manufacturer, his legal troubles in check and a safe place to live, Jerry can get on with the business of building a life for himself and contributing to his community.",0.25,0.05,0.2,0.1884,0.0023,0.1679
110CYL200_18_32,train,"March 17, 2000",0.0,-0.05,0.05,0.062,-0.6,-0.034
110CYL200_2048_2113,dev,"For as long as he needs it, Goodwill will continue to help.",0.0,-0.1,-0.05,0.23,-0.1191,0.1484
110CYL200_210_382,train,"He knew he had made a bad mistake, but despite his commitment to rebuilding his life, he just didn't count on the obstacles that would be thrown up in his path.",-0.15,0.05,-0.05,0.1659,0.0639,0.1451
110CYL200_2120_2281,train,Your support of Goodwill will provide job training and placement services to help the hardest to serve in central Indiana find meaningful employment.,0.25,-0.1,0.05,0.2742,-0.0196,0.1779
110CYL200_2282_2388,train,"And, with your assistance, Goodwill can help employers develop resources to keep workers on the job.",0.215,-0.215,-0.07,0.2634,-0.072,0.1667
110CYL200_2395_2491,train,Please make an investment in the stability of our community by sending a gift to Goodwill.,0.145,-0.07,0.145,0.3275,-0.1164,0.1476
110CYL200_2492_2541,train,Your generosity will help people help themselves.,0.28,0.165,0.0,0.316,-0.1149,0.1414
110CYL200_2548_2558,test,"Sincerely,",0.11,0.055,0.055,,,
110CYL200_2565_2594,train,James M. McClelland President,0.0,-0.15,0.0,0.354,0.244,0.973
110CYL200_389_480,train,Reality hit when he was unable to reconcile with his wife and ended up on the street.,-0.5,0.25,-0.31,0.0834,0.0092,0.0797
110CYL200_39_65,train,"Name Address City, ST, Zip",0.0,-0.25,0.05,0.2785,-0.237,-0.044
110CYL200_481_588,test,He went to the Center Township Trustee for food stamps until he could find a job and a place to live.,0.0,0.0,0.0,0.25,-0.0707,0.1259
110CYL200_589_724,train,The Trustee referred him to the Blue Triangle where he consulted Goodwill's Career Academy staff for job search assistance.,0.1,0.0,0.0,0.2291,-0.1133,0.1151
110CYL200_72_82,dev,Dear Name:,0.0,-0.2,0.05,0.453,-0.266,0.044
110CYL200_731_787,train,Jerry's Goodwill caseworker found him a job immediately.,0.15,0.0,0.0,0.3883,0.1425,0.2902
110CYL200_788_832,train,But Jerry's troubles didn't end there.,-0.25,0.125,0.0,-0.3882,0.1015,-0.2165
110CYL200_833_946,train,"The seasonal construction job he obtained soon ended, and he returned to Career Academy for help once more.",-0.055,0.0,0.0,0.2669,0.016,0.2025
110CYL200_89_209,train,"When Jerry was released from prison, he knew it would take hard work and determination to straighten out his life.",0.0,-0.215,0.285,0.1981,0.0573,0.1302
110CYL200_947_1076,train,"Unemployed, homeless and with a prison record, Jerry now faced going back to prison for failure to pay child support.",-0.4,0.0,-0.35,-0.1932,0.0591,-0.1161
112C-L012_1236_1337,train,"Such fund are often used for college tuition, vocational training or a deposit on an apartment.",0.0,0.0,0.05,0.149,-0.0077,0.0714
112C-L012_1569_1624,train,"Without private donor support, this Fund doesn't exist.",-0.355,0.145,-0.145,0.2326,-0.1486,0.1423
112C-L012_1625_1768,test,Please take a few minutes to send a donation to help one or more of our children successfully cross that threshold into the future.,0.06,-0.06,-0.125,0.2635,-0.0266,0.0888
112C-L012_1775_1785,train,"Sincerely,",0.11,0.0,0.0,,,
112C-L012_1792_1820,train,Mary Roth Executive Director,-0.05,-0.05,0.05,0.482,0.186,0.214
112C-L012_184_255,dev,The young adults who leave Pleasant Run have those same feelings.,0.0,-0.055,0.0,0.1733,-0.1397,0.0233
112C-L012_18_31,train,"June 21, 1999",0.0,-0.125,0.0,,,
112C-L012_256_305,dev,Very few have family support to get them started.,-0.25,-0.05,-0.05,0.3449,-0.0815,0.1379
112C-L012_312_402,dev,"Many need furniture, linens and other basic necessities to begin lives on their own.",-0.19,-0.06,-0.25,0.1225,-0.1471,-0.0967
112C-L012_38_63,train,"Name Address City, ST Zip",0.0,-0.05,0.05,0.2785,-0.237,-0.044
112C-L012_409_634,test,"To help them establish themselves in the community, the Pleasant Run Emancipation fund was begun in 1993 by private donors who wanted to provide a measure of financial support for those leaving our programs.",0.1,0.0,0.15,0.167,-0.0211,0.0878
112C-L012_641_784,train,Individuals who are being emancipated are eligible to receive up to $500 from the Fund if they formally apply and meet four requirements:,0.1,0.05,0.0,0.1569,-0.1409,0.0687
112C-L012_70_76,dev,"Dear ,",0.11,-0.055,0.0,0.76,-0.132,0.258
112C-L012_785_815,train,1. Release by the courts,0.0,-0.06,0.0,0.0713,0.2107,0.3713
112C-L012_816_865,train,2. Successful completion of all life skills tests,0.25,0.05,0.25,0.4194,0.1236,0.3962
112C-L012_83_183,train,Do you remember the combination of elation and apprehension you felt when you first left home?,0.05,0.2,0.1,0.2092,0.0133,0.0922
112C-L012_872_930,train,3. Positive termination of his or her Pleasant Run program,-0.06,-0.06,0.125,0.2817,-0.0327,0.2763
112C-L012_931_982,train,4. Possession of a high school diploma or GED,0.145,-0.145,0.145,0.2225,-0.0065,0.2375
112C-L012_989_1229,train,"Proof of meeting these, two staff reference letters and an essay stating why they should receive a grant and how it will be used are all reviewed by a Pleasant Run panel, which determines if the applicant merits the funds.",0.0,0.05,0.1,0.1516,-0.1087,0.0657
112C-L013_1054_1129,train,Then the task was to help children who lost parents in the Civil War.,0.0,0.0,0.0,0.0184,0.0614,-0.0809
112C-L013_1130_1256,test,"Today, we serve children and families with a multitude of problems: emotional, physical, psychological and sexual abuse.",-0.2,0.05,-0.05,0.2046,0.0487,0.0676
112C-L013_1257_1343,train,"Some come from families where, through therapy, there is hope for reunification.",0.15,0.0,0.05,0.2844,-0.0911,0.1557
112C-L013_1344_1448,train,"For others, ""families"" are the counselors are housemates at the group homes where they live.",0.1,0.0,0.0,0.2072,-0.0308,0.0132
112C-L013_1455_1532,dev,The biggest tragedy is that the problems don't go away; they only grow.,-0.32,0.18,-0.18,-0.0083,0.1281,0.0654
112C-L013_156_252,test,"Little ones, like Baby Jessica, caught in the struggle between adoptive and birth parents.",-0.1,0.0,0.0,0.098,-0.0709,-0.0738
112C-L013_1592_1655,train,In 1995 we will serve over 850 children and 340 families.,0.25,0.0,0.125,0.3506,-0.0624,0.202
112C-L013_1656_1697,train,"In 1996, these figures will triple.",0.0,-0.05,0.0,0.1887,-0.138,0.144
112C-L013_1698_1850,train,"The children and families who come to Pleasant Run are given the opportunity to become happy, loving, and productive members of our society.",0.315,-0.09,0.135,0.3835,0.0585,0.1814
112C-L013_1851_1963,train,"They welcome the chance to belong, to become self- sufficient, to regain their self-esteem and confidence.",0.25,0.0,0.19,0.3499,-0.0356,0.1856
112C-L013_18_35,train,"November 27, 1995",0.0,-0.22,-0.055,,,
112C-L013_1964_2039,train,"Often it is a long, hard struggle, but the results are well worth it.",0.15,0.05,0.0,0.0887,0.0079,0.1124
112C-L013_2046_2161,train,"For Pleasant Run to continue to serve abused and neglected children and their families, we need your support.",-0.15,0.05,-0.05,0.1572,0.0005,-0.0029
112C-L013_2162_2234,train,"The Funding sources are shrinking, but the needs grow explosively.",-0.145,0.215,0.07,0.0925,0.165,0.2355
112C-L013_2235_2311,train,"Please ""help good kids get better"" by sending us a contribution today.",0.1,0.3,0.05,0.461,-0.1413,0.0916
112C-L013_2312_2388,train,Your gift will give children and families hope for improved tomorrows.,0.1,0.0,0.05,0.4895,-0.1327,0.1665
112C-L013_2395_2405,dev,"Sincerely,",0.0,-0.125,0.06,,,
112C-L013_2412_2421,train,Mary Roth,0.0,-0.15,-0.05,,,
112C-L013_253_379,train,"Older kids, like Tracy and Kerry, left homeless after a recent murder-suicide in Indianapolis claimed Mom and Dad.",-0.45,0.05,-0.15,0.006,0.0168,-0.0272
112C-L013_380_529,train,"Young adults, like Mary T., a jobless mother of three, trying desperately to keep her kids out of trouble in a crime-ridden neighborhood.",-0.3,0.05,0.05,-0.0859,0.0516,-0.1545
112C-L013_42_54,train,Dear Friend:,0.0,-0.145,0.215,0.786,-0.153,0.202
112C-L013_530_542,train,Real people!,0.31,0.435,0.0,0.323,-0.09,0.217
112C-L013_549_574,train,There are thousands more.,-0.05,-0.05,0.0,0.3015,-0.156,0.292
112C-L013_575_652,train,"Families are being torn apart, and too often, children are the victims.",-0.55,0.15,-0.05,0.0554,-0.0792,-0.0878
112C-L013_61_149,train,What kind of people benefit by your contribution to Pleasant Run Children's Homes?,0.05,-0.1,0.05,0.269,-0.0448,0.1589
112C-L013_653_757,train,"Kids like Tommie J., made a ward of the court because of repeated beatings by an alcoholic father;",-0.355,0.145,-0.07,0.0693,0.0232,-0.0157
112C-L013_758_841,train,"Alice, sent to a group home to get help because of severe behavior disorders;",-0.25,-0.05,-0.1,-0.0302,0.0316,0.0732
112C-L013_842_966,train,"and John H., a recovering alcoholic, rebuilding a relationships with his family so they can live together again.",0.165,0.0,-0.11,0.14,-0.0598,-0.0442
112C-L013_973_1053,test,Pleasant Run Children's Homes began serving children nearly 130 years ago.,0.05,0.1,0.2,0.2286,-0.1299,-0.0189
112C-L014_1070_1113,dev,"For some, it's a matter of weeks or months;",-0.15,0.05,-0.15,-0.0065,-0.0735,0.0415
